Year,State,Total_arrested,Population
2018,Hawaii,24487,1420593
2018,Idaho,52292,1750536
2018,Illinois,86947,12723071
2018,Indiana,125536,6695497
2018,Iowa,0,3148618
2018,Kansas,32837,2911359
2018,Kentucky,205075,4461153
2018,Louisiana,176520,4659690
2018,Maine,40851,1339057
2018,Maryland,181434,6035802
2018,Massachusetts,101681,6882635
2018,Michigan,235757,9984072
2018,Minnesota,147370,5606249
2018,Mississippi,60902,2981020
2018,Missouri,197865,6121623
2018,Montana,27357,1060665
2018,Nebraska,53007,1925614
2018,Nevada,140967,3027341
2018,New Hampshire,46413,1353465
2018,New Jersey,226427,8886025
2018,New Mexico,74786,2092741
2018,New York,244041,19530351
2018,North Carolina,200411,10381615
2018,North Dakota,33210,758080
2018,Ohio,218433,11676341
2018,Oklahoma,101053,3940235
2018,Oregon,125230,4181886
2018,Pennsylvania,345822,12800922
2018,Rhode Island,25996,1058287
2018,South Carolina,152664,5084156
2018,South Dakota,44268,878698
2018,Tennessee,330989,6771631
2018,Texas,729902,28628666
2018,Utah,104886,3153550
2018,Vermont,14334,624358
2018,Virginia,268094,8501286
2018,Washington,171466,7523869
2018,West Virginia,29202,1804291
2018,Wisconsin,245015,5807406
2018,Wyoming,28437,577601
